App Name,Subscribers
Netflix,75
Amazon Prime Video,50
Disney+,45
Apple TV+,40
Hulu,35
NBC Universal Peacock,15
YouTube Premium,15
HBO Max,8.5
ESPN+,8.5
CBS All Access,4.5
BritBox,1.5
