Games,All-time viewers
League of Legends,43.8
Fortnite,25.9
Counter Strike: Global Offensive,19.6
Grand Theft Auto V,18.8
DOTA 2,17.5
Hearthstone,12.8
World of Warcraft,10.4
Minecraft,9.4
Overwatch,7.6
Tom Clancy’s Rainbow Six Siege,3.9
