,Goal_no,Season,Competition,Matchday,Venue,Team,Opponent,Result,Position,Minute,At_score,Type_of_goal
0,1,2/3,Liga Portugal,6,H,Sporting CP,Moreirense FC,3:0,LW,34,2:0,Solo run
1,2,2/3,Liga Portugal,6,H,Sporting CP,Moreirense FC,3:0,,90+5,3:0,Header
2,3,2/3,Liga Portugal,8,A,Sporting CP,Boavista FC,1:2,,88,1:2,Right-footed shot
3,4,2/3,Ta̤a de Portugal Placard,Fourth Round,H,Sporting CP,CD Estarreja,4:1,,67,3:0,Left-footed shot
4,5,2/3,Ta̤a de Portugal Placard,Fifth Round,H,Sporting CP,FC Oliveira do Hospital,8:1,,13,3:0,
5,6,3/4,Premier League,11,H,Manchester United,Portsmouth FC,3:0,RW,80,2:0,Direct free kick
6,7,3/4,FA Cup,Fifth Round,H,Manchester United,Manchester City,4:2,RW,74,3:0,Right-footed shot
7,8,3/4,Premier League,29,H,Manchester United,Tottenham Hotspur,3:0,,89,2:0,Right-footed shot
8,9,3/4,Premier League,32,A,Manchester United,Birmingham City,1:2,,60,1:1,Header
9,10,3/4,Premier League,38,A,Manchester United,Aston Villa,0:2,,4,0:1,Right-footed shot
10,11,3/4,FA Cup,Final,H,Manchester United,Millwall FC,3:0,RW,44,1:0,Header
11,12,4/5,Premier League,16,H,Manchester United,Southampton FC,3:0,,87,3:0,Right-footed shot
12,13,4/5,FA Cup,Third Round,A,Manchester United,Exeter City,0:2,,9,0:1,
13,14,4/5,Premier League,24,H,Manchester United,Aston Villa,3:1,,8,1:0,Right-footed shot
14,15,4/5,Premier League,25,A,Manchester United,Arsenal FC,2:4,RW,54,2:2,Left-footed shot
15,16,4/5,Premier League,25,A,Manchester United,Arsenal FC,2:4,RW,58,2:3,Tap-in
16,17,4/5,FA Cup,Fifth Round,A,Manchester United,Everton FC,0:2,,58,0:2,Tap-in
17,18,4/5,FA Cup,Sixth Round,A,Manchester United,Southampton FC,0:4,,45+1,0:2,Left-footed shot
18,19,4/5,Premier League,30,H,Manchester United,Fulham FC,1:0,,21,1:0,Right-footed shot
19,20,4/5,FA Cup,Semi-Finals,A,Manchester United,Newcastle United,1:4,RW,76,1:4,Right-footed shot
20,21,5/6,UEFA Champions League Qualifying,3rd round,H,Manchester United,Debreceni VSC,3:0,,63,3:0,Right-footed shot
21,22,5/6,Premier League,11,A,Manchester United,Middlesbrough FC,4:1,,90,4:1,Header
22,23,5/6,EFL Cup,Round of 16,H,Manchester United,West Bromwich Albion,3:1,RW,12,1:1,Penalty
23,24,5/6,Premier League,20,H,Manchester United,Bolton Wanderers,4:1,,68,3:1,Right-footed shot
24,25,5/6,Premier League,20,H,Manchester United,Bolton Wanderers,4:1,,90,4:1,Left-footed shot
25,26,5/6,Premier League,25,H,Manchester United,Fulham FC,4:2,,14,2:0,Direct free kick
26,27,5/6,Premier League,25,H,Manchester United,Fulham FC,4:2,,87,4:2,Right-footed shot
27,28,5/6,Premier League,26,A,Manchester United,Portsmouth FC,1:3,RW,38,0:2,Left-footed shot
28,29,5/6,Premier League,26,A,Manchester United,Portsmouth FC,1:3,RW,45,0:3,Right-footed shot
29,30,5/6,EFL Cup,Final,H,Manchester United,Wigan Athletic,4:0,RW,59,3:0,
30,31,5/6,Premier League,28,A,Manchester United,Wigan Athletic,1:2,,74,1:1,Right-footed shot
31,32,5/6,Premier League,38,H,Manchester United,Charlton Athletic,4:0,RW,23,2:0,Left-footed shot
32,33,6/7,Premier League,1,H,Manchester United,Fulham FC,5:1,,19,4:0,
33,34,6/7,Premier League,6,A,Manchester United,Reading FC,1:1,CF,73,1:1,
34,35,6/7,Premier League,10,A,Manchester United,Bolton Wanderers,0:4,,82,0:3,
35,36,6/7,Premier League,11,H,Manchester United,Portsmouth FC,3:0,RW,10,2:0,Direct free kick
36,37,6/7,Premier League,15,H,Manchester United,Everton FC,3:0,,39,1:0,
37,38,6/7,Premier League,17,H,Manchester United,Manchester City,3:1,,84,3:1,
38,39,6/7,Premier League,19,A,Manchester United,Aston Villa,0:3,,58,0:1,
39,40,6/7,Premier League,19,A,Manchester United,Aston Villa,0:3,,85,0:3,
40,41,6/7,Premier League,20,H,Manchester United,Wigan Athletic,3:1,,47,1:0,
41,42,6/7,Premier League,21,H,Manchester United,Wigan Athletic,4:1,,50,2:0,Penalty rebound
42,43,6/7,Premier League,21,H,Manchester United,Reading FC,3:2,RW,58,2:1,
43,44,6/7,Premier League,21,H,Manchester United,Reading FC,3:2,RW,77,3:1,
44,45,6/7,Premier League,23,H,Manchester United,Aston Villa,3:1,,34,3:0,Header
45,46,6/7,Premier League,25,H,Manchester United,Watford FC,4:0,RW,12,1:0,Penalty
46,47,6/7,Premier League,26,A,Manchester United,Tottenham Hotspur,0:4,RW,45,0:1,Penalty
47,48,6/7,Premier League,28,A,Manchester United,Fulham FC,1:2,,88,1:2,Solo run
48,49,6/7,FA Cup,Sixth Round,A,Manchester United,Middlesbrough FC,2:2,RW,68,2:2,Penalty
49,50,6/7,FA Cup,6th round,H,Manchester United,Middlesbrough FC,1:0,,76,1:0,Penalty
50,51,6/7,UEFA Champions League,Quarter-Finals,H,Manchester United,AS Roma,7:1,RW,44,4:0,Right-footed shot
51,52,6/7,UEFA Champions League,Quarter-Finals,H,Manchester United,AS Roma,8:1,RW,49,5:0,Right-footed shot
52,53,6/7,FA Cup,Semi-Finals,A,Manchester United,Watford FC,1:4,,28,1:2,Right-footed shot
53,54,6/7,UEFA Champions League,Semi-Finals,H,Manchester United,AC Milan,3:2,RW,5,1:0,Header
54,55,6/7,Premier League,37,A,Manchester United,Manchester City,0:1,RW,34,0:1,Penalty
55,56,7/8,UEFA Champions League,Group Stage,A,Manchester United,Sporting CP,0:1,RW,62,0:1,Header
56,57,7/8,Premier League,8,A,Manchester United,Birmingham City,0:1,RW,51,0:1,
57,58,7/8,Premier League,9,H,Manchester United,Wigan Athletic,4:0,RW,59,2:0,Header
58,59,7/8,Premier League,9,H,Manchester United,Wigan Athletic,4:0,RW,76,3:0,Right-footed shot
