title,summary,installs,score,ratings,reviews,size,androidVersion,genreId,contentRating,released,updated,version,appId
Ice Age Adventures,Join Sid- Manny and Diego in a new and exciting ICE AGE adventure!,50000000,4.3380184,1441674,33980,61M,4.1,ADVENTURE,Everyone,2014-08-06,2022-04-26,2.1.1a,com.gameloft.android.ANMP.GloftIVHM
Dungeon Hunter 5:  Action RPG,PvP adventure game with rising heroes to grab the sword and claim power,10000000,4.099695,773344,25662,66M,5.0,ROLE_PLAYING,Teen,2015-03-11,2022-04-18,6.4.1a,com.gameloft.android.ANMP.Gloft5DHM
March of Empires: War of Lords,Become king in an MMO strategy game full of war- intrigue and conquest!,10000000,3.6781712,339459,9148,267M,7.0,STRATEGY,Everyone 10+,2015-08-04,2022-04-12,6.3.0h,com.gameloft.android.ANMP.GloftGHHM
Blitz Brigade - Online FPS,Multiplayer online war FPS game. Team up in a military world.,10000000,4.012917,1600577,72208,49M,4.1,ACTION,Everyone 10+,2013-05-09,2021-01-11,3.6.2a,com.gameloft.android.ANMP.GloftINHM
Heroes of the Dark: RPG Game,A strategy RPG with Heroes. The rise of a Dark Empire with Vampires & Werewolves,500000,4.2288556,21175,743,98M,5.0,ROLE_PLAYING,Teen,2021-10-26,2022-03-29,1.6.0,com.gameloft.android.ANMP.dark.heroes.strategy.games
Heroes of Order & Chaos,Multiplayer team game to fight in an online battle arena,10000000,3.9009733,726112,27451,37M,4.1,STRATEGY,Teen,2012-12-05,2021-02-24,3.6.5a,com.gameloft.android.ANMP.GloftHOHM
Ice Age Village,Discover what's above and beneath the ice in ICE AGE VILLAGE,50000000,4.4289293,1907405,98467,53M,4.1,CASUAL,Everyone 10+,2012-04-05,2022-04-26,3.6.1a,com.gameloft.android.ANMP.GloftIAHM
Order & Chaos 2: 3D MMO RPG,Fantasy heroes on the road to redemption. MMORPG game.,10000000,3.735089,263719,10824,54M,4.0.3,ROLE_PLAYING,Teen,2015-09-16,2018-08-13,3.1.3a,com.gameloft.android.ANMP.GloftO2HM
War Planet Online: MMO Game,Be a war lord. Conquer the world. Build an army to dominate,5000000,4.23991,98200,3461,832M,5.0,STRATEGY,Everyone 10+,2017-08-30,2022-04-21,4.5.1,com.gameloft.android.ANMP.GloftW2HM
Paddington Run game,Infinite run through London with Paddington collecting marmalade and tokens,1000000,3.96,10353,249,32M,4.1,ACTION,Everyone,2017-10-25,2020-10-20,1.2.6a,com.gameloft.android.ANMP.GloftDTHM
Dungeon Hunter Champions,Online action RPG fight in live PVP 5v5 battles with customizable teams,1000000,3.6993568,47672,2723,Varies with device,4.4,ROLE_PLAYING,Teen,2018-05-02,2021-02-01,1.8.36,com.gameloft.android.ANMP.GloftD6HM
Order & Chaos Online 3D MMORPG,Battle Orcs and Demons in a massive multiplayer role-playing adventure,5000000,4.3472295,475583,36629,37M,4.1,ROLE_PLAYING,Teen,2011-06-20,2021-12-15,4.2.5a,com.gameloft.android.ANMP.GloftMMHM
Rival Knights,Adventure challenge game to battle for glory and victory,5000000,4.2744746,355751,11280,31M,4.0,ACTION,Teen,2014-06-04,2021-04-15,1.2.4b,com.gameloft.android.ANMP.GloftOKHM
