Zone,NameOfEnterprise,InvestingCountry,Products
Uttara,Kord (BD) Ltd,CHINA,Miscellaneous
Uttara,Master Purple (BD) Limited,CHINA,Miscellaneous
Uttara,Mazen (Bangladesh) Industries Ltd.,CHINA,Plastic goods
Uttara,Oasis Transformation Ltd.,UNITED KINGDOM,Furniture
Uttara,Sonic (Bangladesh) Ltd.,CHINA,Toys
Uttara,THT-Space Electrical Company Ltd,CHINA,Electronics & Electrical goods
Uttara,Uttara Sweater Manufacturing Company Limited,HONGKONG,Knitting & other Textile pdt.
Uttara,Ventura Leatherware MFY (BD) Ltd.,CHINA,Footwear & Leather goods
Uttara,EPF Carton Ltd.,CHINA,Garment Accessories
Uttara,DESHBANDHU TEXTILES MILLS LTD,BANGLADESH,Garments
Uttara,EXPO LINK IND. LTD,BANGLADESH,Garment Accessories
Uttara,Fardin Accessories Limited,BANGLADESH,Garment Accessories
Uttara,Glorious Export BD Ltd.,BANGLADESH,Garment Accessories
Uttara,Independent Export (BD) Ltd.,BANGLADESH,Garment Accessories
Uttara,NILPHAMARI PACKAGING LTD,BANGLADESH,Knitting & other Textile pdt.
Uttara,PADMA SPINNING & COMPOSITE LTD,BANGLADESH,Miscellaneous
Uttara,Quest Accessories (BD) Ltd.,BANGLADESH,Garment Accessories
Uttara,Section Seven International Limited,BANGLADESH,Garments
Uttara,SKY STAR INDUSTRIES LTD.,BANGLADESH,Garment Accessories
Uttara,Star Packaging & Accessories Ltd.,BANGLADESH,Plastic goods
Uttara,TN Accessories Ltd.,BANGLADESH,Garment Accessories
Uttara,Viyellatex Apparels Ltd.,BANGLADESH,Garments
Uttara,Eque International,BANGLADESH,Knitting & other Textile pdt.
Uttara,Interfab Casual Wear Ltd.,BANGLADESH,Garments
Uttara,K.P. International,BANGLADESH,Garments
