Zone,Land,SFB,TotalInvestment,ExportEarned,NewJobOpportunity
Chattogram,2.5,2.75,6.87,545.28,935
Dhaka,2.5,2.75,16.07,394.46,1773
Cumilla,2.5,2.75,48.83,136.39,1808
Adamjee,2.5,2.75,3.51,177.17,0
Karnaphuli,2.5,2.75,2.53,231.39,648
Mongla,1.4,1.6,0.62,19.52,194
Uttara,1.4,1.6,2.26,44.05,600
Ishwardi,1.4,1.6,0.36,31.35,578
